date,positive_ratio,top_word,strongest_title_with_top_word
2024-07-08,28.4,테슬라,품질 쓰레기 테슬라의 유일한 경쟁력은 가격인데
2024-07-09,29.23,테슬라,테슬라 별로 오른것도 없구만
2024-07-10,27.52,테슬라,전기차 꼭 테슬라 타야되는 이유가있음?
2024-07-11,26.94,테슬라,테슬라 260 밑으로 갈 가능성도 있냐
2024-07-12,26.14,테슬라,테슬라가 망해도 놀랍고 성공해도 놀라울듯
2024-07-13,27.44,테슬라,테슬라 담주 존나 기대 되네
2024-07-14,28.22,트럼프,도지코인도아니고 트럼프총맞았다고 테슬라가오름??
2024-07-15,26.71,테슬라,테슬라 개같이 뒤도 안돌아보고 262 탈출
2024-07-16,26.6,테슬라,테슬라 18 100만원이 마이너스30됐네
2024-07-17,25.25,엔비,엔비 지금 역사상 최저점이다 ㅇㅇ
2024-07-18,24.11,엔비,엔비 실적 개좆박을거같지않냐?
2024-07-19,24.77,마소,마소의 영향력만 알려준 꼴이 되버린거임...
2024-07-20,26.89,엔비,담주는 꼭 올라가자 엔비야..
2024-07-21,29.66,트럼프,트럼프 공약 저 지랄로 내도 당선 가능함???
2024-07-22,25.54,엔비,그렇게 말했는데도 역사상 최저점에 엔비 손절친 흑우읎제?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-07-23,26.78,테슬라,테슬라 시발 100달러도 아까운 병신 주식임ㅋㅋㅋ
2024-07-24,26.18,테슬라,테슬라 믿고 갑니다
2024-07-25,24.47,엔비,아니 씨발 엔비디아 최저점에 팔고 오르고 있네 디질래 진짜
2024-07-26,25.54,엔비,엔비 ㅈ같은 근본없는 밈주 씨발련
2024-07-27,27.48,엔비,엔비디아 왜이리 희망고문하냐
2024-07-28,26.87,트럼프,대본 안들고 오는 트럼프는 명불허전인듯
2024-07-29,25.86,테슬라,머스크: 테슬라 언급도 안된 제품 출시예정
2024-07-30,25.56,엔비,엔비 120 역사상 최저점임
2024-07-31,25.01,엔비,엔비 59분에 어떤 똥꼬쑈를 보여줄까
2024-08-01,24.92,엔비,엔비디아 118도 결국 붕괴... 오늘은 빅쇼트다
2024-08-02,24.23,엔비,[엔비디아] 최악의 조합.JPG
2024-08-03,25.81,엔비,엔비디아 설계결함으로 신규ai칩 연기통보
2024-08-04,26.1,버핏,버핏 20년째 voo 도 못이기는 퇴물쉐끼가 ㅋㅋ
2024-08-05,22.78,엔비,엔비 최저점 어디까지 간다고 보냐
2024-08-06,22.54,엔비,엔비디아 앞에 이제 악재 뭐가있냐
2024-08-07,22.52,슈마컴,슈마컴 최악의 실적.jpg
2024-08-08,24.0,엔비,엔비디아 100불 붕괴 다 튀어있~~~~~~~~~~~~~~~~~~~~~
2024-08-09,23.51,엔비,엔비 실적도 아니고 트슴 실적으로 원래 나선이 움직임?
2024-08-10,24.9,웹툰,걍 돈되는 상품이 아니자나 웹툰은
2024-08-11,28.61,이유,오피가 존나 별로인 이유
2024-08-12,24.48,엔비,이쯤에서 다시보는 엔비 옵션
2024-08-13,24.68,엔비,아니 88불에도 안사던 엔비를 111달러 달라고 난리야 ㅋㅋ
