date,positive_ratio,top_word,strongest_title_with_top_word
2024-06-26,38.01,엔비,병신들 기술적조정으로 엔비 거품취급하던 ㅂㅅ들ㅋㅋㅋㅋ
2024-06-27,33.79,엔비,엔비디아 이 병신기업은 빗코운지하면서 쳐박았어야 할 새끼가
2024-06-28,32.64,나이키,나이키 어닝 또 실망만 안겨줘
2024-06-29,31.58,나이키,"5년 최저점 나이키사기 , 역대최고점 앤비디아 사기 골라라"
2024-06-30,38.41,부동산,부동산자체가 싫은게 아니고 한국부동산이 노답이라 싫은거임
2024-07-01,35.45,테슬라,걍 모든주식이 다 매도세네 테슬라빼고
2024-07-02,33.46,테슬라,테슬라발표할 내용도 안좋은데 왜삼??
2024-07-03,30.84,테슬라,안되겟다 테슬라 공약한다
2024-07-04,35.78,테슬라,지금이라도 테슬라 사도 안늦었냐?
2024-07-05,34.68,테슬라,테슬라 올라가도 좋고 내려가도 좋고
2024-07-06,35.31,테슬라,테슬라 더 오르는이유
2024-07-07,37.52,테슬라,워렌버핏.... 테슬라 비추다 ㄷㄷ....Jpg
2024-07-08,37.07,테슬라,품질 쓰레기 테슬라의 유일한 경쟁력은 가격인데
2024-07-09,35.35,테슬라,테슬라 별로 오른것도 없구만
2024-07-10,36.28,테슬라,전기차 꼭 테슬라 타야되는 이유가있음?
2024-07-11,31.24,테슬라,테슬라 260 밑으로 갈 가능성도 있냐
2024-07-12,29.22,테슬라,테슬라가 망해도 놀랍고 성공해도 놀라울듯
2024-07-13,32.8,테슬라,테슬라 담주 존나 기대 되네
2024-07-14,37.83,트럼프,도지코인도아니고 트럼프총맞았다고 테슬라가오름??
2024-07-15,35.93,테슬라,테슬라 개같이 뒤도 안돌아보고 262 탈출
2024-07-16,31.96,테슬라,테슬라 18 100만원이 마이너스30됐네
2024-07-17,29.71,엔비,엔비 지금 역사상 최저점이다 ㅇㅇ
2024-07-18,28.27,엔비,엔비 실적 개좆박을거같지않냐?
2024-07-19,27.98,마소,마소의 영향력만 알려준 꼴이 되버린거임...
2024-07-20,31.18,엔비,담주는 꼭 올라가자 엔비야..
2024-07-21,38.01,근데,근데 노력도 안해놓고 부자가 되길 바람?
2024-07-22,30.39,엔비,그렇게 말했는데도 역사상 최저점에 엔비 손절친 흑우읎제?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-07-23,30.72,테슬라,테슬라 시발 100달러도 아까운 병신 주식임ㅋㅋㅋ
2024-07-24,29.32,테슬라,테슬라 믿고 갑니다
2024-07-25,27.13,엔비,아니 씨발 엔비디아 최저점에 팔고 오르고 있네 디질래 진짜
2024-07-26,28.94,엔비,엔비 ㅈ같은 근본없는 밈주 씨발련
2024-07-27,30.69,엔비,엔비디아 왜이리 희망고문하냐
2024-07-28,34.3,근데,근데 여태까지 돈도 못모으고 못벌었으면서
2024-07-29,31.37,오늘,오늘 그냥 인류역사상 최악의 개좆노잼 횡보장일듯 ㅇㅇ
2024-07-30,31.18,엔비,엔비 120 역사상 최저점임
2024-07-31,32.04,엔비,엔비 59분에 어떤 똥꼬쑈를 보여줄까
2024-08-01,30.65,엔비,엔비디아 118도 결국 붕괴... 오늘은 빅쇼트다
2024-08-02,26.22,엔비,[엔비디아] 최악의 조합.JPG
2024-08-03,31.07,엔비,엔비디아 설계결함으로 신규ai칩 연기통보
2024-08-04,30.05,버핏,버핏 20년째 voo 도 못이기는 퇴물쉐끼가 ㅋㅋ
2024-08-05,22.23,지금,코스닥 30개 종목이상이 하한가다 지금
2024-08-06,24.39,오늘,어제오늘 통틀어 가장 병신
2024-08-07,26.58,슈마컴,슈마컴 최악의 실적.jpg
2024-08-08,28.88,엔비,엔비디아 100불 붕괴 다 튀어있~~~~~~~~~~~~~~~~~~~~~
2024-08-09,27.05,오늘,똥성 오늘 3프로로 출발 했는데 시즐시들하노
2024-08-10,25.56,근데,근데 진짜 물놀이가 좆도아닌데 즐거움 ㅋㅋㅋ
2024-08-11,34.04,근데,근데 오늘 처음 알았는데 미주갤럼들 경제관념 잘박혀있노
2024-08-12,29.92,엔비,이쯤에서 다시보는 엔비 옵션
2024-08-13,30.39,엔비,아니 88불에도 안사던 엔비를 111달러 달라고 난리야 ㅋㅋ
