date,positive_ratio,top_word,strongest_title_with_top_word
2024-07-22,25.79,엔비,그렇게 말했는데도 역사상 최저점에 엔비 손절친 흑우읎제?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-07-23,26.02,테슬라,테슬라 시발 100달러도 아까운 병신 주식임ㅋㅋㅋ
2024-07-24,25.75,테슬라,테슬라 재미없게 말올하고있네
2024-07-25,24.64,엔비,엔비 ㅈ같은 근본없는 밈주 씨발련
2024-07-26,25.93,엔비,엔비 실적나오고 꼴아박을거같은데
2024-07-27,27.3,트럼프,대본 안들고 오는 트럼프는 명불허전인듯
2024-07-29,25.5,엔비,엔비 120 역사상 최저점임
2024-07-30,25.99,엔비,엔비 한달 동안 지루하게 흔드는 이유
2024-07-31,24.44,엔비,애초에 엔비디아가 떨어진다는게 말이 안됨
2024-08-01,24.71,엔비,엔비디아 118도 결국 붕괴... 오늘은 빅쇼트다
2024-08-02,24.36,엔비,[엔비디아] 최악의 조합.JPG
2024-08-03,26.5,버핏,역시 버핏이네
2024-08-05,22.39,엔비,엔비 최저점 어디까지 간다고 보냐
2024-08-06,22.41,슈마컴,슈마컴 최악의 실적.jpg
2024-08-07,23.26,엔비,엔비디아 가망 없네 평단 $123 겨울이나 돼야 복구될듯
2024-08-08,24.13,엔비,엔비디아 100불 붕괴 다 튀어있~~~~~~~~~~~~~~~~~~~~~
2024-08-09,23.16,엔비,엔비 실적도 아니고 트슴 실적으로 원래 나선이 움직임?
2024-08-10,27.84,일본,부침개 <- 이거 일본 튀김 열화버전 아님?
2024-08-12,23.64,엔비,이쯤에서 다시보는 엔비 옵션
2024-08-13,25.78,엔비,아니 88불에도 안사던 엔비를 111달러 달라고 난리야 ㅋㅋ
2024-08-14,24.94,엔비,두시간째 이야기 중이다 오늘 엔비 풀롱이라고
2024-08-15,25.62,엔비,엔비디아 점점 선넘네 ㅋ;
2024-08-16,25.48,엔비,역시 최강의 2인조. 테슬라 엔비
2024-08-17,29.41,이유,국민연금같은 연기금 투자 별로인 이유
2024-08-19,24.29,엔비,속슬존나맛없네 엔비롱가야되냐
2024-08-20,26.93,엔비,엔비디아 어닝 미스 발생시 한 짤 요약
2024-08-21,23.56,엔비,엔비 실적 의심은 매번 튀어나오노 ㅋㅋㅋ
2024-08-22,25.77,엔비,엔비디아 숏 52주 최저가ㅋㅋㄱㄱㄱㅋ
2024-08-23,25.06,파월,파월:오늘 아침에 이쁜이들과 재밌는 시간 보냈다
2024-08-24,28.78,부동산,부동산 22년에 안사놓고 왜 지금와서 좆되니마니
